time_s,predicted_class,position,confidence,camera_track_visible,camera_error,red_pixels,rotation,forward
8.999923011288047e-07,LEFT,-0.4619029760360718,0.9238059520721436,1,-0.3852426212175364,11283,1.3857089281082153,2.772502812743187
0.16191929999331478,LEFT,-0.44327279925346375,0.8492852449417114,1,-0.377038649750119,11294,1.3298183977603912,2.801845341175795
0.305105099992943,LEFT,-0.42678918441136676,0.7876439094543457,1,-0.31095228415138976,11303,1.2803675532341003,2.8278070345520976
0.40946499998972286,LEFT,-0.4041152521967888,0.6721869111061096,1,-0.23974644128113876,11262,1.2123457565903664,2.8635184777900577
0.5294162999925902,CENTER,-0.3240365546196699,0.992555558681488,1,-0.17113427165120154,11216,0.9721096638590097,2.98964242647402
0.632452399993781,CENTER,-0.23165877494848247,0.9999699592590332,1,-0.11151550023835066,11190,0.6949763248454475,3.1351374294561403
0.7493635999999242,CENTER,-0.1467308153085014,0.9999926090240479,1,-0.06763222444232375,11163,0.4401924459255042,3.2688989658891106
0.8594750999909593,CENTER,-0.06796641819448723,0.9999954700469971,1,-0.04127121108195153,11158,0.2038992545834617,3.3929528913436826
0.9548355000006268,CENTER,-0.0007477925357875393,0.9999961853027344,1,-0.033189847942754924,11159,0.002243377607362618,3.4988222267561344
1.066133299987996,CENTER,-3.6154953818368084e-06,0.999996542930603,1,-0.040234328424943344,11157,1.0846486145510425e-05,3.4999943055947735
1.1601640999870142,CENTER,-1.0323048286409176e-06,0.9999959468841553,1,-0.05577135273768341,11150,3.096914485922753e-06,3.4999983741198952
1.2934064000000944,CENTER,-9.503022397439054e-07,0.9999935626983643,1,-0.07648408630349268,11166,2.8509067192317165e-06,3.4999985032739724
1.4044488999934401,CENTER,-2.5827170134107293e-06,0.9999818801879883,1,-0.09564123183226114,11163,7.748151040232189e-06,3.499995932220704
1.521650499998941,CENTER,-7.6253031238593396e-06,0.9999469518661499,1,-0.11796158598308915,11171,2.287590937157802e-05,3.49998799014758
1.6261770999990404,CENTER,-1.6010631316021318e-05,0.9999125003814697,1,-0.14328186376621832,11178,4.803189394806396e-05,3.499974783255677
1.7361997999978485,CENTER,-7.919070699244913e-05,0.99936443567276,1,-0.16857074854218734,11182,0.00023757212097734738,3.499875274636487
1.8542090999981156,CENTER,-0.0012443140300092636,0.9883421063423157,1,-0.19442317414059718,11188,0.0037329420900277907,3.4980402054027357
1.9640761999908136,CENTER,-0.04767035194454365,0.5357231497764587,1,-0.2152786037107517,11187,0.14301105583363094,3.4249191956873437
2.075979199988069,LEFT,-0.10220015005543245,0.54534912109375,1,-0.23617331402257868,11198,0.30660045016629733,3.339034763662694
2.1961294999928214,CENTER,-0.13419548335368744,0.679961085319519,1,-0.24522223790562225,11198,0.4025864500610623,3.2886421137179425
2.3224459999910323,LEFT,-0.19216543594375252,0.5803336501121521,1,-0.24425677182445293,11189,0.5764963078312575,3.19733943838859
2.495488899992779,CENTER,-0.21239532232284547,0.7860448956489563,1,-0.23211206896551728,11182,0.6371859669685365,3.165477367341518
2.6168620999960694,CENTER,-0.17745669186115265,0.8851087689399719,1,-0.2107859363841943,11168,0.532370075583458,3.2205057103186845
2.711370099990745,CENTER,-0.12363360039889812,0.9928790926933289,1,-0.1943215147093854,11160,0.37090080119669433,3.3052770793717356
2.835197899999912,CENTER,-0.09167753435904161,0.9995200634002686,1,-0.18323711263408815,11138,0.27503260307712485,3.3556078833845095
2.957841199997347,CENTER,-0.0337440833915025,0.9989994168281555,1,-0.18034319861707204,11133,0.10123225017450749,3.4468530686583834
3.067240699994727,CENTER,-0.012401540589053184,0.9994691014289856,1,-0.1869014729536519,11142,0.03720462176715955,3.4804675735722412
3.1769258999993326,CENTER,-0.0010669558541849256,0.9984543323516846,1,-0.2022798261569656,11129,0.0032008675625547767,3.4983195445296587
3.254293599995435,CENTER,-0.009077730332501232,0.9127736687660217,1,-0.21799034795042893,11136,0.027233190997503695,3.485702574726311
3.363694499988924,LEFT,-0.06526473850244656,0.5623484253883362,1,-0.23809368670320508,11142,0.19579421550733966,3.397208036858647
3.4569740000006277,CENTER,-0.11201746973674745,0.5314735174179077,1,-0.25134922879942834,11141,0.3360524092102424,3.3235724851646227
3.564583599989419,CENTER,-0.15371069229440765,0.5825381278991699,1,-0.2533144503334921,11142,0.46113207688322294,3.257905659636308
3.658604699987336,CENTER,-0.18566336408257483,0.6789283156394958,1,-0.2442610963919981,11144,0.5569900922477244,3.207580201569945
3.7364650999952573,CENTER,-0.17859997376799583,0.9834068417549133,1,-0.23126881407963762,11128,0.5357999213039875,3.2187050413154066
3.8291647999867564,CENTER,-0.1226906361291185,0.9967431426048279,1,-0.20903937947494033,11121,0.3680719083873555,3.3067622480966383
3.908663999987766,CENTER,-0.07587187046010513,0.9996597766876221,1,-0.19491819293640378,11119,0.22761561138031539,3.3805018040253345
4.018176199999289,CENTER,-0.03413808643090306,0.999874472618103,1,-0.1881890365795441,11118,0.10241425929270918,3.446232513871328
4.096476399994572,CENTER,-0.0020561624914989807,0.9997465014457703,1,-0.18964864723779984,11113,0.006168487474496942,3.496761544075889
4.189965799989295,CENTER,-0.0004498986716498621,0.9994692206382751,1,-0.2002867194961796,11115,0.0013496960149495863,3.4992914095921517
4.284017899990431,CENTER,-0.00018441793654346838,0.9993983507156372,1,-0.21484841139618138,11120,0.0005532538096304051,3.4997095417499438
4.392401199991582,CENTER,-0.0012511250548413954,0.9889925122261047,1,-0.23025952821185736,11123,0.003753375164524186,3.4980294780386245
4.468618799990509,CENTER,-0.001673014074913226,0.9956554174423218,1,-0.24256054524292703,11110,0.005019042224739678,3.497365002832012
4.5781824000005145,CENTER,-0.0024622621131129563,0.9918545484542847,1,-0.2596011954447889,11118,0.007386786339338869,3.496121937171847
4.672171099999105,CENTER,-0.022617296926910058,0.7979195713996887,1,-0.2761811977923627,11100,0.06785189078073017,3.4643777573401167
4.782640299992636,CENTER,-0.03014720231294632,0.9241000413894653,1,-0.2893901992710325,11096,0.09044160693883896,3.4525181563571095
4.873718899994856,CENTER,-0.0535767387598753,0.7546980977058411,1,-0.29889149108104873,11080,0.16073021627962591,3.4156166364531964
4.9840548999927705,CENTER,-0.05977470753714442,0.9336763620376587,1,-0.3048026650886865,11072,0.17932412261143327,3.4058548356289973
5.078677299999981,CENTER,-0.060694662667810914,0.982654869556427,1,-0.3070297515583793,11069,0.18208398800343273,3.404405906298198
